SENDER,RECP_NAME,AMOUNT,CURRENCY,TYPE,TIME
company C,394cbfdd3b16018b7f55d5efa79d5341,659000.0,HUF,tax,2018-10-26 07:45:46.137
company C,cb209dc1783ed163d8571cf64f733686,66000.0,HUF,tax,2018-10-26 07:45:46.113
company A,52ca38fc039c0daf33f1affd6a82f31a,799084.0,HUF,invoice,2018-05-09 16:38:45.663
company A,2f9dfa2a6e1bd285195aae2dca81a950,468064.0,HUF,invoice,2018-05-10 10:51:52.590
company A,cb23ae6b71e25ab886a65bf756205a8e,22500.0,HUF,tax,2018-03-19 15:01:18.943
company C,8fa2a19715bbca3d9f7a566950a56ddf,529.0,HUF,salary,2018-07-18 15:16:17.013
company C,caf861851f88fc23e753674aebe0efcc,190500.0,HUF,invoice,2019-01-07 07:16:24.453
company C,caf861851f88fc23e753674aebe0efcc,190500.0,HUF,invoice,2019-01-07 07:16:24.253
company C,caf861851f88fc23e753674aebe0efcc,190500.0,HUF,invoice,2019-01-07 07:16:24.550
company C,caf861851f88fc23e753674aebe0efcc,190500.0,HUF,invoice,2019-01-07 07:16:24.207
company C,caf861851f88fc23e753674aebe0efcc,190500.0,HUF,invoice,2019-01-07 07:16:24.853
company C,caf861851f88fc23e753674aebe0efcc,190500.0,HUF,invoice,2019-01-07 07:16:25.150
company C,caf861851f88fc23e753674aebe0efcc,190500.0,HUF,invoice,2019-01-07 07:16:25.203
company B,2618ef17e143358a97fd7176299b6287,6985.0,HUF,invoice,2018-10-30 19:23:13.547
company B,2618ef17e143358a97fd7176299b6287,6985.0,HUF,invoice,2018-10-30 19:23:13.573
company B,2618ef17e143358a97fd7176299b6287,6985.0,HUF,invoice,2018-10-30 19:23:13.537
company C,d3f73589ee730edf8c4f0b0fc530cb82,114300.0,HUF,invoice,2019-01-16 10:12:10.943
company C,d3f73589ee730edf8c4f0b0fc530cb82,114300.0,HUF,invoice,2019-01-16 10:12:10.960
